YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1956,-0.08,2.44,2.89,8.92,14.71,21.81,22.64,23.34,18.14,14.38,8.05,4.82,0.33,8.84,22.60,13.52,11.32
1957,-2.03,2.81,5.41,11.70,17.17,23.38,25.27,22.99,20.80,13.34,9.54,4.46,1.87,11.43,23.88,14.56,12.93
1958,-0.18,-2.66,4.48,11.49,14.94,19.43,24.38,23.86,19.65,12.95,8.75,-1.60,0.54,10.30,22.56,13.78,11.80
1959,-0.53,-0.09,4.38,11.96,18.95,21.65,24.49,25.16,22.26,15.31,7.53,3.41,-0.74,11.76,23.77,15.03,12.46
1960,0.92,2.24,0.63,11.93,16.89,21.99,23.51,23.71,19.87,13.89,9.25,-1.19,2.19,9.82,23.07,14.34,12.35
1961,-2.95,1.99,4.70,8.86,14.89,21.84,25.01,24.07,22.47,15.57,8.70,1.35,-0.72,9.48,23.64,15.58,12.00
1962,-0.29,-0.70,5.55,11.24,17.40,21.88,22.89,21.85,17.71,13.49,5.61,-0.89,0.12,11.40,22.21,12.27,11.50
1963,-1.65,-2.70,5.87,11.44,15.98,21.43,24.46,22.06,17.06,16.37,10.00,-0.66,-1.75,11.10,22.65,14.48,11.62
1964,1.83,0.25,5.99,9.64,18.36,21.81,23.91,22.53,19.33,12.57,9.46,2.24,0.47,11.33,22.75,13.79,12.09
1965,-1.50,0.83,4.24,10.13,18.90,20.95,23.30,22.65,19.49,13.63,7.77,4.27,0.52,11.09,22.30,13.63,11.89
1966,-0.32,1.26,5.48,9.38,15.98,23.67,26.04,24.48,18.73,12.96,8.95,1.61,1.74,10.28,24.73,13.55,12.57
1967,2.52,-2.02,2.62,9.31,12.43,22.21,23.62,22.81,18.83,13.53,5.36,2.96,0.70,8.12,22.88,12.57,11.07
1968,-3.39,-2.20,5.80,12.30,14.86,20.49,24.71,23.99,20.98,15.38,7.82,0.79,-0.88,10.99,23.06,14.73,11.97
1969,-0.56,-0.12,4.01,12.84,17.99,22.35,23.29,24.76,20.06,13.80,7.51,0.29,0.04,11.61,23.47,13.79,12.23
1970,-4.28,0.08,3.24,10.69,17.33,21.12,24.60,24.88,21.09,14.49,8.68,0.85,-1.30,10.42,23.53,14.75,11.85
1971,-3.28,1.24,4.03,9.94,15.82,22.97,24.97,23.92,21.50,16.56,6.82,4.38,-0.40,9.93,23.95,14.96,12.11
1972,1.21,-0.79,3.82,9.59,16.88,19.71,24.89,24.03,20.66,11.75,6.67,3.42,1.60,10.10,22.88,13.03,11.90
1973,1.75,0.07,7.79,11.66,15.06,22.79,25.00,25.15,20.64,15.46,8.86,3.68,1.75,11.50,24.31,14.99,13.14
1974,1.57,-0.37,5.38,12.65,15.87,20.36,24.89,24.45,19.05,12.07,8.81,3.87,1.63,11.30,23.23,13.31,12.37
